Manufacture of refractory products ,232,,575.8
Manufacture of refractory products  ,2320,,575.8
Manufacture of clay building materials ,233,385.1,454.5
Manufacture of ceramic tiles and flags ,2331,327.6,361.9
"Manufacture of bricks, tiles and construction products, in baked clay ",2332,399.3,491.2
Manufacture of other porcelain and ceramic products ,234,388.4,451.5
Manufacture of ceramic household and ornamental articles ,2341,365.7,386.7
Manufacture of ceramic sanitary fixtures  ,2342,558.5,591.9
Manufacture of ceramic insulators and insulating fittings  ,2343,,
Manufacture of other technical ceramic products ,2344,404.3,455.5
Manufacture of other ceramic products ,2349,,
"Manufacture of cement, lime and plaster ",235,,
Manufacture of cement ,2351,,
Manufacture of lime and plaster ,2352,,
"Manufacture of articles of concrete, cement and plaster ",236,489.2,589.8
Manufacture of concrete products for construction purposes ,2361,454.2,537.1
Manufacture of plaster products for construction purposes  ,2362,582.6,637.5
Manufacture of ready-mixed concrete ,2363,561.4,639.1
Manufacture of mortars  ,2364,,
Manufacture of fibre cement ,2365,,
"Manufacture of other articles of concrete, plaster and cement ",2369,,
"Cutting, shaping and finishing of stone ",237,428.4,457.8
"Cutting, shaping and finishing of stone",2370,428.4,457.8
Manufacture of abrasive products and non-metallic mineral products n.e.c. ,239,452.2,539.2
Production of abrasive products ,2391,460.3,490.2
Manufacture of other non-metallic mineral products n.e.c.,2399,,558.8
Manufacture of basic metals ,24,543.9,615.9
Manufacture of basic iron and steel and of ferro-alloys ,241,518.5,597.8
Manufacture of basic iron and steel and of ferro-alloys ,2410,518.5,597.8
"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel ",242,468.5,544.1
"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel ",2420,468.5,544.1
Manufacture of other products of first processing of steel ,243,446,527
Cold drawing of bars ,2431,348.9,410.4
Cold rolling of narrow strip ,2432,,
Cold forming or folding ,2433,,
Cold drawing of wire  ,2434,593.8,602.8
Manufacture of basic precious and other non-ferrous metals ,244,696.2,732.7
Precious metals production ,2441,,
Aluminium production ,2442,467.5,524.2
"Lead, zinc and tin production ",2443,,564.6
Copper production ,2444,452.1,534
Other non-ferrous metal production ,2445,576.8,594.4
Processing of nuclear fuel ,2446,771.3,871.1
Casting of metals ,245,405.1,466.7
Casting of iron ,2451,,487.2
Casting of steel ,2452,,499.8
Casting of light metals,2453,404,449
Casting of other non-ferrous metals ,2454,415.3,456.8
"Manufacture of fabricated metal products, except machinery and equipment ",25,478.4,555.8
Manufacture of structural metal products ,251,477.3,587.2
Manufacture of metal structures and parts of structures ,2511,490.4,610.7
Manufacture of doors and windows of metal ,2512,443,516.5
"Manufacture of tanks, reservoirs and containers of metal ",252,479.1,547.2
Manufacture of central heating radiators and boilers  ,2521,493.9,524.9
"Manufacture of other tanks, reservoirs and containers of metal ",2529,,567.6
"Manufacture of steam generators, except central heating hot water boilers",253,,592.9
"Manufacture of steam generators, except central heating hot water boilers ",2530,,592.9
Manufacture of weapons and ammunition ,254,801.5,816
Manufacture of weapons and ammunition  ,2540,801.5,816
"Forging, pressing, stamping and roll-forming of metal; powder metallurgy ",255,449.9,476.3
"Forging, pressing, stamping and roll-forming of metal; powder metallurgy ",2550,449.9,476.3
Treatment and coating of metals; machining ,256,452.1,508.4
Treatment and coating of metals ,2561,396.4,488.7
Machining ,2562,472.7,514.9
"Manufacture of cutlery, tools and general hardware ",257,454.6,547.8
Manufacture of cutlery ,2571,,
Manufacture of locks and hinges ,2572,476.5,653.1
Manufacture of tools ,2573,448.9,482.4
Manufacture of other fabricated metal products ,259,460.1,522.1
Manufacture of steel drums and similar containers  ,2591,491.4,535.7
Manufacture of light metal packaging ,2592,623.1,605.4
"Manufacture of wire products, chain and springs ",2593,456.1,474.6
Manufacture of fasteners and screw machine products ,2594,436.5,563.5
Manufacture of other fabricated metal products n.e.c. ,2599,431.1,495.5
"Manufacture of computer, electronic and optical products ",26,648.7,705.4
Manufacture of electronic components and boards,261,492.6,617.2
Manufacture of electronic components ,2611,525.9,649.5
Manufacture of loaded electronic boards ,2612,438.8,534.5
Manufacture of computers and peripheral equipment ,262,596.1,622.7
Manufacture of computers and peripheral equipment,2620,596.1,622.7
Manufacture of communication equipment ,263,638.6,732.7
Manufacture of communication equipment ,2630,638.6,732.7
Manufacture of consumer electronics ,264,524.8,558.8
Manufacture of consumer electronics ,2640,524.8,558.8
"Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks ",265,678.4,730.6
"Manufacture of instruments and appliances for measuring, testing and navigation ",2651,678.4,730.6
Manufacture of watches and clocks ,2652,,
"Manufacture of irradiation, electromedical and electrotherapeutic equipment ",266,,803.3
"Manufacture of irradiation, electromedical and electrotherapeutic equipment  ",2660,,803.3
Manufacture of optical instruments and photographic equipment ,267,675.6,703.3
Manufacture of optical instruments and photographic equipment ,2670,675.6,703.3
Manufacture of magnetic and optical media ,268,,
Manufacture of magnetic and optical media ,2680,,
Manufacture of electrical equipment ,27,485.3,591.4
"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus ",271,508.6,622.6
"Manufacture of electric motors, generators and transformers ",2711,519.8,639
Manufacture of electricity distribution and control apparatus  ,2712,499.5,605
Manufacture of batteries and accumulators ,272,468.2,530.9
Manufacture of batteries and accumulators  ,2720,468.2,530.9
Manufacture of wiring and wiring devices ,273,508.4,620.7
Manufacture of fibre optic cables  ,2731,,
Manufacture of other electronic and electric wires and cables,2732,460.8,571.7
Manufacture of wiring devices ,2733,,
Manufacture of electric lighting equipment ,274,460,543.1
Manufacture of electric lighting equipment ,2740,460,543.1
Manufacture of domestic appliances ,275,444.4,533.8
Manufacture of electric domestic appliances,2751,439.8,589.1
Manufacture of non-electric domestic appliances  ,2752,445.1,459.4
Manufacture of other electrical equipment ,279,524.6,641.6
Manufacture of other electrical equipment ,2790,524.6,641.6
Manufacture of machinery and equipment n.e.c. ,28,545.7,628.7
Manufacture of general purpose machinery ,281,546,665.1
