EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPayPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleMedianBonusPayPercent,FemaleMedianBonusPayPercent,MaleLowerPayBand,FemaleLowerPayBand,MaleMiddlePayBand,FemaleMiddlePayBand,MaleUpperPayBand,FemaleUpperPayBand,MaleUpperQuartilePayBand,FemaleUpperQuartilePayBand,CompanyLinkToGPGInfo,ResponsiblePerson
Devon & Cornwall Autistic Community Trust,"Lakeside Offices The Old Cattle Market,
Coronation Park,
Helston,
Cornwall,
United Kingdom,
TR13 0SR",01662611,"86900,
87200",2.20,0.00,0.00,0.00,0.00,0.00,41.70,58.30,41.70,58.30,46.20,53.80,40.30,59.70,,Christopher Simpson (HR Manager)
Diageo Great Britain Ltd.,"Lakeside Drive,
Park Royal,
London,
London,
United Kingdom,
NW10 7HQ",00507652,"11010,
11070,
46342,
70100",4.10,-9.80,23.50,12.30,86.30,91.80,60.70,39.30,44.00,56.00,44.10,55.90,57.30,42.70,https://www.diageo.com/pr1346/aws/media/4161/diageo-gender-pay-report-2017.pdf,Mairéad Nayager (Human Resources Director)
DIAGEO SCOTLAND LIMITED,"Edinburgh Park, 5 Lochside Way,
Edinburgh,
EH12 9DT",SC000750,11010,11.30,16.70,9.60,-263.10,93.60,94.40,55.00,45.00,62.10,37.90,76.40,23.60,78.50,21.50,https://www.diageo.com/pr1346/aws/media/4161/diageo-gender-pay-report-2017.pdf,Mairéad Nayager (Human Resources Director)
DIESEL (LONDON) LIMITED,"55, Argyle Street,
London,
WC1H 8EE",03005257,"46420,
47710,
47721",6.20,-2.00,10.40,32.10,67.00,63.80,49.00,51.00,55.60,44.40,47.50,52.50,51.00,49.00,,Jonathan Hewlett (Director)
Dingbro Ltd.,"Unit 7/8 Whitemyres Avenue,
Mastrick Industrial Estate,
Aberdeen,
Aberdeenshire,
United Kingdom,
AB16 6HQ",SC079886,45190,0.00,0.00,0.00,0.00,0.00,0.00,82.00,18.00,90.00,10.00,90.00,10.00,96.00,4.00,,Andrew Macdonald (HR Manager)
Diocese Of Southwell And Nottingham Multi-Academy Trust,"JUBILEE HOUSE,
WESTGATE,
United Kingdom,
NG25 0JH",08738949,"1,
85590",22.40,10.00,0.00,0.00,0.00,0.00,10.00,90.00,16.00,84.00,12.00,88.00,22.00,78.00,,
Diodes Zetex Semiconductors Ltd.,"Zetex Technology Park,
Chadderton,
Oldham,
United Kingdom,
OL9 9LL",02387949,26110,26.50,31.50,66.30,10.80,100.00,100.00,71.10,28.90,70.70,29.30,86.80,13.20,86.70,13.30,,Dave Benstead (HR Director)
Disability Challengers,"Challengers,
Stoke Park,
Guildford,
Surrey,
United Kingdom,
GU1 1TU",04300724,"88100,
88910,
93290",16.60,16.30,0.00,0.00,0.00,0.00,15.40,84.60,0.00,100.00,30.80,69.20,23.10,76.90,,Sam Stephens (HR Manager)
DL Insurance Services Ltd.,"Churchill Court,
Westmoreland Road,
Bromley,
Kent,
United Kingdom,
BR1 1DP",03001989,65120,18.70,14.70,66.40,31.00,71.40,57.70,51.50,48.50,44.20,55.80,55.20,44.80,66.20,33.80,https://www.directlinegroup.com/our-responsibilities/proud-to-be-here-nav/human-rights-and-diversity.aspx,Paul Geddes (CEO)
Dnata Ltd.,"Unit 3 Northumberland Close,
Stanwell,
Staines-Upon-Thames,
Middlesex,
United Kingdom,
TW19 7LN",03091040,"52102,
52230,
52242",1.50,1.10,-5.80,-16.80,1.80,1.30,76.70,23.30,80.20,19.80,76.70,23.30,83.20,16.80,,Gary Morgan (CEO)
Don & Low Ltd.,"Newfordpark House,
Glamis Road,
Forfar,
Angus,
United Kingdom,
DD8 1FR",SC005657,13960,13.40,7.80,23.00,0.00,96.40,94.00,54.00,46.00,70.00,30.00,91.00,9.00,88.00,12.00,http://www.donlow.co.uk/gb/en/gender-pay-gap-information/,Vassilis Zairopoulos (Chairman)
DONCASTER CHILDREN'S SERVICES TRUST LIMITED,"Blue Building, 38-40 High Street,
Doncaster,
DN1 1DE",08805834,"87900,
88990",13.10,8.20,0.00,0.00,0.00,0.00,10.50,89.50,16.30,83.70,17.00,83.00,21.20,78.80,https://www.doncasterchildrenstrust.co.uk/about-us/publicationsreports,Lorraine Eastham (Head of OD & HR)
Doncaster Metropolitan Borough Council,"Doncaster Metropolitan Borough Council - Civic Office,
Waterdale,
Doncaster,
DN1 3BU",,"1,
84110",15.70,21.10,0.00,0.00,0.00,0.00,12.00,88.00,31.00,69.00,33.00,67.00,46.00,54.00,http://www.doncaster.gov.uk/services/the-council-democracy/equality-and-inclusion,
Dorchester Hotel Ltd.,"The Dorchester Hotel,
53 Park Lane,
London,
United Kingdom,
W1A 2HJ",01229635,55100,15.00,7.00,38.00,61.00,95.00,90.00,46.00,54.00,56.00,44.00,59.00,41.00,68.00,32.00,https://www.dorchestercollection.com/en/about-us/corporate-responsibility/,Stacey Lawrence (Director of Human Resources)
Dunster House Ltd.,"Dunster House,
Caxton Road,
Bedford,
Bedfordshire,
United Kingdom,
MK41 0LF",02913901,"29203,
32990,
47990",0.90,6.00,-46.00,-371.80,37.10,19.30,69.70,30.30,66.70,33.30,78.80,21.20,77.30,22.70,https://dunsterhouse.co.uk/gender-pay-gap-report,Malgorzata Kaczmarek (Audit and Finance Director)
Dynex Semiconductor Ltd.,"Doddington Road,
Lincoln,
Lincolnshire,
United Kingdom,
LN6 3LF",03824626,26110,36.00,41.00,0.00,0.00,0.00,0.00,36.00,64.00,59.00,41.00,80.00,20.00,90.00,10.00,,Mark Kempton (Business Unit Director)
EAST MIDLANDS CONFERENCE CENTRE LIMITED,"King's Meadow Campus, Lenton Lane,
Nottingham,
Nottinghamshire,
NG7 2NR",03142273,"55100,
56210",3.30,1.40,21.50,32.30,17.30,16.30,27.70,72.30,55.40,44.60,47.70,52.30,42.20,57.80,,Shirley Harvey (Financial Controller)
EAST OF ENGLAND CO-OPERATIVE SOCIETY LIMITED,"Wherstead Park,
The Street,
Ipswich,
IP1 2BJ",IP01099R,,20.20,1.10,0.00,0.00,0.00,0.00,23.90,76.10,27.80,72.20,35.30,64.70,51.70,48.30,https://www.eastofengland.coop/about-us/our-co-op-today/gender-pay-reporting,John Cook (Chair – Remuneration & Search Committee)
East Riding College,"Flemingate, Armstrong Way, Beverley,
HU17 0GH",,"1,
85320",17.00,16.00,41.00,21.00,9.00,19.00,21.00,79.00,31.00,69.00,39.00,61.00,44.00,56.00,https://www.eastridingcollege.ac.uk/about-us/the-college/policies#equality,
Eastern Multi-Academy Trust,"Trust Offices,
Queen Mary Road,
King's Lynn,
Norfolk,
England,
PE30 4QG",07338780,"1,
85200,
85310",33.00,42.50,0.00,0.00,0.00,0.00,12.00,88.00,10.00,90.00,21.00,79.00,40.00,60.00,https://www.eastern-mat.co.uk,
Eastgate Care Group Ltd,"370-374 Nottingham Road,
Newthorpe,
Notts,
United Kingdom,
NG16 2ED",08513312,70100,2.20,-27.50,0.00,0.00,0.00,0.00,28.00,72.00,28.00,72.00,4.00,96.00,4.00,96.00,http://www.eastgatecare.co.uk/,JANINE MORGAN (MANAGING DIRECTOR)
Easyjet Airline Co. Ltd.,"Hangar 89 London Luton Airport,
Luton,
Bedfordshire,
United Kingdom,
LU2 9PF",03034606,51101,51.70,45.50,43.80,32.20,75.10,89.30,31.10,68.90,35.20,64.80,62.60,37.40,89.30,10.70,http://corporate.easyjet.com/~/media/Files/E/Easyjet/attachments/easyjet-gender-pay-gap-report-november-2017,Jacky Simmonds (Group People Director)
Ecclesiastical Insurance Office PLC,"Beaufort Hse,
Brunswick Rd.,
Gloucester,
United Kingdom,
GL1 1JZ",00024869,65120,30.70,25.00,53.50,33.10,98.10,99.00,26.70,73.30,39.10,60.90,58.40,41.60,68.80,31.20,https://www.ecclesiastical.com/general/careers/benefits-and-wellbeing/our-approach-to-diversity/index.aspx,Ian Campbell (Group Chief Financial Officer)
Eden Outsource Ltd.,"Tuscam House, Trafalgar Way,
Camberley,
Surrey,
GU15 3BN",04384396,82990,-1.00,0.00,-15.00,-2.00,69.00,84.00,77.00,23.00,57.00,43.00,57.00,43.00,58.00,42.00,http://edenoutsource.co.uk,Peter Giltrap (Director)
EDEN PROJECT LIMITED,"Bodelva, Par,
Cornwall,
PL24 2SG",03278093,"85590,
91040",18.40,4.70,79.30,78.50,83.30,16.70,43.00,57.00,44.00,56.00,43.80,56.20,46.30,53.70,http://www.edenproject.com/eden-story/about-us/annual-and-sustainability-reports,Gordon Seabright (Chief Executive Officer)
EDINBURGH LEISURE,"Vantage Point, 3 Cultins Road,
Edinburgh,
EH11 4DF",SC179259,"93110,
93130",-1.10,-0.90,0.00,0.00,0.00,0.00,48.00,52.00,56.00,44.00,45.00,55.00,58.00,42.00,,Karen Scott (Director of People)
Edwards & Ward Ltd.,"The Old Stables,
Whitehill Road,
Crowborough,
East Sussex,
England,
TN6 1JP",03714522,56290,38.30,13.80,78.50,95.20,7.50,6.90,2.90,97.10,2.90,97.10,5.90,94.10,11.80,88.20,http://edwardsandward.co.uk/,Andrew Gray (Finance Director)
Elekta Ltd.,"Linac House,
Fleming Way,
Crawley,
West Sussex,
United Kingdom,
RH10 9RR",03244454,32500,9.80,10.30,12.00,17.30,53.00,43.00,66.00,34.00,78.00,22.00,85.00,15.00,80.00,20.00,,Steve Wort (Chief Operating Officer and Managing Director UK)
Emh Care And Support Ltd.,"02488821 Memorial House, Whitwick Business Park,
Stenson Road,
Coalville,
Leicestershire,
United Kingdom,
LE67 4JP",02488821,"87200,
88100",-5.20,0.00,0.00,0.00,0.00,0.00,22.40,77.60,31.70,68.30,31.00,69.00,18.40,81.60,http://www.emhgroup.org.uk/about-emh-group/,Joanne Tilley (Executive Director - Corporate Services)
EMH HOUSING & REGENERATION LIMITED,"Memorial House, Stenson Road,
Coalville,
LE67 4JP",IP032198,,3.20,14.40,-800.00,0.00,1.20,2.30,47.40,52.60,42.90,57.10,65.80,34.20,71.10,28.90,http://www.emhgroup.org.uk/about-emh-group/,Joanne Tilley (Executive Director - Corporate Services)
Emporia Leisure Ltd.,"The Emporium,
Moor Lane,
Clitheroe,
Lancashire,
United Kingdom,
BB7 1BE",03310912,68209,4.30,0.00,33.00,0.20,47.00,53.00,35.00,65.00,58.00,42.00,50.00,50.00,46.00,54.00,,Archway Payroll Archway Payroll (Archway Payroll)
Environment Agency,"Horizon House,
Deanery Road,
Bristol,
BS1 5AH",,"1,
84110",2.60,2.50,10.50,8.30,75.70,87.40,60.90,39.10,53.00,47.00,54.80,45.20,63.40,36.60,https://www.gov.uk/government/publications/environment-agency-pay-gap,
Epayroll Services Ltd.,"Alba House Mulberry Business Park,
Fishponds Road,
Wokingham,
Berkshire,
United Kingdom,
RG41 2GY",07329095,82990,-5.00,6.60,0.00,0.00,0.00,0.00,30.00,70.00,56.00,44.00,28.00,72.00,46.00,54.00,,Sarah Johnston (Manager)
ERNST & YOUNG SERVICES LIMITED,"1, More London Place,
London,
SE1 2AF",02812206,82990,19.70,14.80,43.50,35.20,52.30,57.80,48.60,51.40,46.30,53.70,52.20,47.80,64.50,35.50,https://go.ey.com/2xjSWD4,Lynn Rattigan (UK&I Chief Operating Officer)
Erskine Hospital,"C/O T C Young,
7 West George Street,
Glasgow,
United Kingdom,
G2 1BA",SC174103,"86102,
87300",0.00,0.00,0.00,0.00,0.00,0.00,27.50,72.50,21.60,78.40,24.20,75.80,16.40,83.60,,Jane Scobie (Director of HR & OD)
Eurocamp Ltd.,"Chelford House Rudheath Way,
Rudheath,
Northwich,
Cheshire,
England,
CW9 7LN",03626865,70100,-0.40,0.60,-15.90,-34.10,6.30,11.00,53.70,46.30,54.20,45.80,60.20,39.80,51.80,48.20,http://www.eurocampjobs.com/jobs.html,Darren Marsh (Managing Director)
Europa Worldwide Logistics Ltd,"Littlebrook Dc1,
Shield Road,
Dartford,
Kent,
United Kingdom,
DA1 5UR",01233784,"49410,
50200,
52102,
52103",19.00,1.00,48.00,78.00,49.00,13.00,64.00,36.00,60.00,40.00,51.00,49.00,82.00,18.00,,Carl Potter (HR and Facilities Director)
EUROPCAR GROUP UK LIMITED,"James House, 55 Welford Road,
Leicester,
LE2 7AR",01089053,77110,-4.20,-26.40,-5.10,-85.20,62.00,74.00,91.90,8.10,77.30,22.70,59.30,40.70,60.80,39.20,https://www.europcar.co.uk/,Gary Smith (Managing Director)
Excalibur Academies Trust,"St John's Marlborough,
Granham Hill,
Marlborough,
Wiltshire,
United Kingdom,
SN8 4AX",08146633,"1,
85200,
85310,
85590",17.20,31.90,0.00,0.00,0.00,0.00,26.90,73.10,15.20,84.80,22.00,78.00,39.00,61.00,,
EXCHANGE HOUSE SERVICES LIMITED,"Level 1, Exchange House,
Primrose Street,
London,
EC2A 2EG",06447647,70100,19.00,38.80,30.00,10.40,71.00,77.00,21.00,79.00,32.00,68.00,48.00,52.00,51.00,49.00,https://www.herbertsmithfreehills.com/our-2017-uk-gender-pay-gap-report,"Julie Cupit (HR Director, UK/US and EMEA)"
EXPD8 LIMITED,"1, Brunswick Square,
Bristol,
England,
BS2 8PE",04601274,74909,6.90,0.00,-100.30,-22.20,3.80,3.20,22.50,77.50,16.90,83.10,16.90,83.10,20.80,79.20,,Paul Roffey (Finance Director)
F.W. Evans Cycles (UK) Ltd.,"Camino Park,
James Watt Way,
Crawley,
West Sussex,
United Kingdom,
RH10 9TZ",02784079,47640,-6.50,-4.10,9.80,13.70,90.00,81.00,90.00,10.00,90.00,10.00,87.00,13.00,83.00,17.00,https://www.evanscycles.com/help/our-responsibilities,Andy King (CEO)
FARLINGAYE HIGH SCHOOL,"Farlingaye High School, Ransom Road,
Woodbridge,
Suffolk,
IP12 4JX",07667407,85310,16.00,38.00,0.00,0.00,0.00,0.00,31.00,69.00,25.00,75.00,40.00,60.00,48.00,52.00,http://www.farlingaye.suffolk.sch.uk/,Andrew Sievewright (Headteacher)
Fce Bank PLC,"Central Office,
Eagle Way,
Brentwood,
Essex,
United Kingdom,
CM13 3AR",00772784,"64910,
64929",16.60,7.50,80.00,32.30,46.00,39.00,48.00,52.00,51.00,49.00,54.00,46.00,64.00,36.00,http://www.fcebank.com/webcontent/investorcentergb/FCE_UK_GPG_Narrative_January_2018.pdf,Adrian Stead (HR Director)
FDM GROUP LIMITED,"3rd , Floor, Cottons Centre,
Cottons Lane,
London,
SE1 2QG",02542980,"62020,
62090,
78200",6.00,0.00,18.10,12.00,95.30,88.10,73.30,26.70,72.50,27.50,70.30,29.70,79.50,20.50,https://www.fdmgroup.com/uk/investors/gender-pay-gap-reporting/,Roderick Flavell (Chief Executive Officer)
FIRST WESSEX,"Peninsular House,
Wharf Road,
Portsmouth,
PO2 8HB",IP030940,,15.10,13.50,0.00,0.00,0.00,0.00,58.70,41.30,36.00,64.00,66.10,33.90,78.90,21.10,https://www.vividhomes.co.uk/media/1536/gender-pay-report-2017.pdf?1512397515,Duncan Short (Director of Resources)
FLAGSHIP HOUSING GROUP LIMITED,"31 King Street,
Norwich,
NR1 1PD",IP031211,,25.60,18.30,0.00,0.00,0.00,0.00,22.00,78.00,39.00,61.00,33.00,67.00,63.00,37.00,,Lisa Collen (Director of People)
FLORETTE UK + IRELAND LIMITED,"Florette House Wood End Lane, Fradley,
Lichfield,
England,
WS13 8NF",03687920,10390,7.70,2.70,16.60,8.00,100.00,100.00,53.00,47.00,81.00,19.00,63.00,37.00,71.00,29.00,https://www.florettesalad.co.uk/gender-pay-reporting,Doug Robertson (Managing Director)
Ford & Slater Ltd.,"Hazel Drive,
Narborough Road South,
Leicester,
United Kingdom,
LE3 2JG",02495131,"45190,
45200,
45320,
52290",22.90,21.10,93.80,93.20,32.60,13.80,78.20,21.80,81.00,19.00,92.10,7.90,91.00,9.00,https://www.fordandslater.co.uk/about-us/ford-and-slater-gender-pay-gap/,Nigel Strevens (Joint Managing Director)
Fore Street Employment Agency Ltd.,"Building 2 30 Friern Park,
North Finchley,
London,
United Kingdom,
N12 9DA",05192969,78300,0.00,0.00,0.00,0.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,,Catharine Clark (Finance Manager)
Foreign & Commonwealth Office,"King Charles Street,
SW1A 2AH",,1,10.60,11.10,16.70,5.50,58.20,55.20,47.60,52.40,54.00,46.00,63.80,36.20,61.70,38.30,https://www.gov.uk/government/publications/fco-gender-pay-gap-report-and-data-2016-to-2017,
Forestry Commission,"231 Corstorphine Road,
Edinburgh,
EH12 7AT",,1,6.20,1.40,0.00,0.00,0.10,0.10,54.00,46.00,75.00,25.00,66.00,34.00,69.00,31.00,https://www.forestry.gov.uk/pdf/GenderPayGapReport2017.pdf/$FILE/GenderPayGapReport2017.pdf,
Formaplex Ltd.,"Access Point Northarbour Road,
Cosham,
Portsmouth,
United Kingdom,
PO6 3TE",04138909,32990,26.00,28.00,72.00,73.00,4.00,2.00,74.00,26.00,80.00,20.00,94.00,6.00,94.00,6.00,,Angela Tomkins (H R Manager)
FORMICA LIMITED,"Coast Road, North Shields,
Tyne & Wear,
NE29 8RE",00139731,32990,-15.00,-23.10,45.20,43.80,11.30,24.00,86.40,13.60,69.20,30.80,87.50,12.50,100.00,0.00,,Emma Dixon (UK People and Performance Manager)
FORTEM SOLUTIONS LIMITED,"Spirella 2,,
Icknield Way,
Letchworth,
SG6 4GY",04638969,43999,1.90,7.00,23.20,-59.80,68.60,69.70,71.60,28.40,86.90,13.10,91.20,8.80,78.70,21.30,,Sonya Holmes (Head of Human Resources)
Frederic Robinson Ltd.,"Unicorn Brewery,
Lower Hillgate,
Stockport,
United Kingdom,
SK1 1JJ",00170679,11050,27.90,28.60,-1.10,-64.70,52.00,34.00,45.00,55.00,52.00,48.00,72.00,28.00,81.00,19.00,https://www.robinsonsbrewery.com/-/media/files/footer/frederic-robinson-ltd--gender-pay-gap-commentary-2017.pdf,Oliver Robinson (Managing Director Beer Division)
FUJITSU SERVICES LIMITED,"22, Baker Street,
London,
W1U 3BW",00096056,"58290,
62020,
62090,
95110",16.70,17.90,40.80,23.60,91.30,90.70,69.20,30.80,71.00,29.00,78.30,21.70,83.20,16.80,http://www.fujitsu.com/uk/about/local/corporate-responsibility/responsible-business-report/diversity-inclusion/pay-gap-2017/index.html,"Duncan Tait (Head of Americas and EMEIA Regions, SVP)"
Furnico Furniture Ltd.,"Bradford House,
Phillips Lane,
Colne,
Lancashire,
United Kingdom,
BB8 9PQ",03808156,"70100,
74990",15.30,19.30,47.40,12.20,26.10,36.00,54.50,45.50,66.20,33.80,71.40,28.60,87.00,13.00,,Nigel Ramsey (Financial Director)
Future Home Care Ltd.,"56 Southwark Bridge Road,
London,
United Kingdom,
SE1 0AS",04829670,"88100,
88990",-4.10,-1.30,0.00,0.00,0.00,0.30,35.00,65.00,34.00,66.00,29.00,71.00,25.00,75.00,http://www.lifeways.co.uk/wp-content/uploads/2018/01/FHC-GPR-2017.pdf,Julia Haines-Daniels (Group HR Director)
Gainford Hotels Ltd.,"Gainford House Picktree Lane,
Chester Le Street,
Co Durham,
United Kingdom,
DH3 3SR",07988275,55100,0.00,0.00,0.00,0.00,20.00,20.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,,Wajid Ayaz (Accountant)
Gainpeak Ltd.,"Arrowsmith Court,
10, Station Approach,
Broadstone,Dorset,
United Kingdom,
BH18 8AX",02302371,70100,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,,Jonathan Fryett (Director)
Gardner Denver Group Services Ltd.,"C/O Gardner Denver International Ltd,
Springmill Street,
Bradford,
West Yorkshire,
United Kingdom,
BD5 7HW",02193570,70100,14.30,12.90,-0.80,-3.50,23.50,17.70,90.20,9.80,89.50,10.50,78.40,21.60,84.20,15.80,,Sara Bennett (UK HR Manager)
Gates (U.K.) Ltd.,"Tinwald Downs Road,
Heathhall,
Dumfries & Galloway,
United Kingdom,
DG1 1TS",SC001771,"15200,
22190,
70100",23.20,12.90,40.60,-35.00,7.50,6.70,60.30,39.70,95.10,4.90,92.60,7.40,90.20,9.80,,Kevin Proudfoot (Director of Factory Operations)
Gedling Borough Council,"Civic Centre,
Arnot Hill Park,
Arnold,
Nottingham,
Nottinghamshire,
United Kingdom,
NG5 6LU",,"1,
84110",3.00,1.90,0.00,0.00,0.00,1.00,48.40,51.60,45.10,54.90,54.90,45.10,47.70,52.30,https://www.gedling.gov.uk/council/aboutus/financeandaccounts/opendata/genderpaygapdata/,
Genesis Housing Association Ltd.,"192-196 High Road,
London,
London,
United Kingdom,
NW10 2PB",IP031241,,19.80,28.60,0.00,0.00,0.00,0.00,30.00,70.00,26.00,74.00,38.00,62.00,50.00,50.00,https://www.genesisha.org.uk/about-us/transparency/gender-pay-gap#view-other-pages-in-section-block-1,"Nicke Harrison (Diversity, Inclusion and Wellbeing Lead)"
Genus UK Ltd.,"Alpha House Regis Road,
Kentish Town,
London,
United Kingdom,
NW5 3EW",05896509,"47710,
47721",28.20,5.30,0.00,0.00,0.00,0.00,3.10,96.90,6.50,93.50,3.70,96.30,10.70,89.30,,Theo Odamtten (Accountant)
Glasswells Ltd.,"Dettingen Way, Newmarket Road,
Bury St Edmunds,
Suffolk,
United Kingdom,
IP33 3TU",00602166,"47530,
47599",29.60,19.10,74.30,57.70,99.20,98.10,20.00,80.00,35.00,65.00,48.30,51.70,75.00,25.00,https://www.glasswells.co.uk/about-us/172-other,Paul Glasswell (Managing Director)
"Glatfelter Lydney, Ltd.","Lydney Paper Mill,
Church Road,
Lydney,
Gloucestershire,
United Kingdom,
GL15 5EJ",05734921,17120,-4.60,-0.10,39.80,48.80,5.60,14.30,80.00,20.00,97.00,3.00,97.00,3.00,88.00,12.00,,Craig Chapman (UK HR Manager)
GLENSIDE MANOR HEALTHCARE SERVICES LIMITED,"Glenside Manor, Warminster Road, South Newton,
Salisbury,
SP2 0QD",04678337,"86101,
87100,
87300",18.70,0.90,-14.30,0.00,1.30,3.40,23.30,76.70,18.90,81.10,22.20,77.80,23.30,76.70,http://glensidecare.com/wp-content/uploads/2017/07/Gender-pay-gap-report-2017.pdf,Christina Walsh (Chief Executive Officer)
Gloucestershire Hospitals Nhs Foundation Trust,"Gloucester Royal Hospital,
Great Western Road,
Gloucester,
Gloucestershire,
United Kingdom,
GL1 3NN",,"1,
84120,
86210",28.20,16.90,0.00,0.00,0.00,0.00,21.20,78.80,13.80,86.20,15.60,84.40,32.00,68.00,,
Greater Brighton Metropolitan College,"Pelham Street,
Brighton,
BN1 4FA",,1,2.10,11.20,0.00,0.00,0.00,0.00,30.10,69.90,36.60,63.40,42.30,57.70,38.50,61.50,,
Greater London Authority,"City Hall, 110 The Queen's Walk,
More London,
London,
SE12AA",,"1,
84110",9.00,6.10,4.90,5.30,11.70,8.60,44.00,56.00,40.00,60.00,47.00,53.00,55.00,45.00,,
Greenhead College,"Greenhead Road,
Huddersfield,
HD1 4ES",,1,24.00,40.20,0.00,0.00,0.00,0.00,17.50,82.50,15.60,84.40,48.40,51.60,53.00,47.00,http://www.greenhead.ac.uk/,
Greenhous Group (Holdings) Ltd.,"Greenhous Village,
Osbaston,
Telford,
Shropshire,
England,
TF6 6RA",05270023,"45111,
45112,
45190,
45200",13.10,9.80,68.50,100.00,68.00,47.00,83.10,16.90,75.10,24.90,87.60,12.40,86.00,14.00,,Mike Pawson (Group Finance Director)
Greenhous Group Ltd.,"Greenhous Village,
Osbaston,
Telford,
Shropshire,
England,
TF6 6RA",03493415,"45111,
45112,
45190,
45200",11.00,8.80,63.40,100.00,69.00,49.30,84.00,16.00,76.90,23.10,89.20,10.80,85.30,14.70,http://www.greenhous.co.uk/gender-pay-gap-policy,Mike Pawson (Group Finance Director)
GREENVALE AP LIMITED,"Greenvale Ap Floods Ferry Road, Doddington,
March,
PE15 0UW",03163230,"1130,
1630,
10310",16.60,13.60,25.00,-8.50,25.30,30.00,51.10,48.90,66.50,33.50,83.00,17.00,71.00,29.00,https://www.greenvale.co.uk/media/1985/gvap-gpg-report-final.pdf,Andy Ferguson (HR Director)
Greenwood Academies Trust,"Greenwood House Colwick Quays Business Park, Private Road No 2,
Colwick,
Nottingham,
United Kingdom,
NG4 2JY",06864339,"1,
85310",28.80,43.00,0.00,0.00,0.00,0.00,8.00,92.00,17.00,83.00,26.00,74.00,31.00,69.00,,
Greggs PLC,"Greggs House,
Quorum Business Park,
Newcastle Upon Tyne,
United Kingdom,
NE12 8BU",00502851,"10710,
47240",21.70,11.70,53.90,52.20,72.00,77.00,27.00,73.00,15.00,85.00,25.00,75.00,51.00,49.00,https://corporate.greggs.co.uk/sites/default/files/Greggs_Gender_Pay_Gap_Report_January_2018.pdf,Roger Whiteside (CEO)
Grosvenor Estate Management Ltd.,"70 Grosvenor Street,
London,
United Kingdom,
W1K 3JP",02048534,70100,34.40,27.60,69.90,52.40,93.00,91.00,32.00,68.00,53.00,47.00,52.00,48.00,66.00,34.00,http://www.grosvenor.com/getattachment/8df27747-5093-4e31-8d4f-c36c7d1d2f14/Grosvenor-Gender-Pay-Gap-Report-2017.pdf,Camilla Faith (Grosvenor Estate HR Director)
Gsl Dardan Ltd.,"Brooke House John Hyrne Way,
Longwater Business Park,
Norwich,
Norfolk,
United Kingdom,
NR5 0AF",04384007,80100,-0.30,-1.40,23.30,-50.00,11.40,41.00,91.20,8.80,86.30,13.70,95.10,4.90,89.20,10.80,https://www.dardansecurity.co.uk/dardan-security-publishes-gender-pay-reporting,Alton Nutile (Head of Commercial)
Gsm Automotive Holdings Ltd.,"Castlegarth Works,
Masonic Lane,
Thirsk,
North Yorkshire,
United Kingdom,
YO7 1PS",08922562,74990,32.50,25.80,82.20,0.00,97.80,98.20,37.10,62.90,47.60,52.40,55.50,44.50,77.70,22.30,http://www.gsmautomotive.com,Andrew Farthing (Chief Executive Officer)
H M Government Cabinet Office,"1 Horse Guards Road,
SW1A 2HQ",,1,10.00,12.30,19.10,0.00,30.00,32.00,45.10,54.90,47.10,52.90,51.10,48.90,57.10,42.90,https://www.gov.uk/government/publications/gender-pay-gap-report-2017,
Hadlow College,"Hadlow College,
Hadlow,
Tonbridge,
TN110AL",,1,16.60,11.40,0.00,0.00,0.00,0.00,23.00,77.00,28.60,71.40,37.30,62.70,39.80,60.20,http://hadlow.ac.uk/about/policies/gender-pay-gap-reporting/,
HALL CLEANING SERVICES LIMITED,"Knowsley Business Park, Caddick Road,
Prescot,
L34 9HP",01545130,96090,0.10,0.00,0.00,0.00,0.00,0.00,16.80,83.20,17.00,83.00,16.80,83.20,13.80,86.20,,Allan Ashurst (Director)
Hambleton District Council,"Civic Centre,
Northallerton,
North Yorkshire,
United Kingdom,
DL6 2UU",,"1,
84110",-7.70,-12.30,0.00,0.00,0.00,0.00,50.90,49.10,56.50,43.50,38.90,61.10,35.20,64.80,https://www.hambleton.gov.uk/downloads/file/3685/gender_pay_gap_report_2017,
Hard Rock Cafe (UK) Ltd.,"Cannon Place, 78 Cannon Street,
London,
England,
EC4N 6AF",01924059,56101,-0.90,3.20,54.40,44.00,36.70,70.60,57.60,42.40,59.20,40.80,64.30,35.70,63.30,36.70,http://www.hardrock.com/cafes/london/files/2401/Gender_Pay_Gap_Reporting_Statement_2017.pdf,Debbie Galbraith (Senior Director of HR - UK & Europe)
HARD ROCK INTERNATIONAL LIMITED,"148 Old Park Lane,
London,
W1K 1QY",01334204,,-0.90,3.20,54.40,44.00,36.70,70.60,57.60,42.40,59.20,40.80,64.30,35.70,63.30,36.70,http://www.hardrock.com/cafes/london/files/2401/Gender_Pay_Gap_Reporting_Statement_2017.pdf,Debbie Galbraith (Senior Director of HR - UK & Europe)
