EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPayPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleMedianBonusPayPercent,FemaleMedianBonusPayPercent,MaleLowerPayBand,FemaleLowerPayBand,MaleMiddlePayBand,FemaleMiddlePayBand,MaleUpperPayBand,FemaleUpperPayBand,MaleUpperQuartilePayBand,FemaleUpperQuartilePayBand,CompanyLinkToGPGInfo,ResponsiblePerson
North East Autism Society,"15 Lumley Court,
Drum Industrial Estate,
Chester Le Street,
Durham,
United Kingdom,
DH2 1AN",02859620,"85200,
85310,
85320,
87200",1.70,-2.10,0.00,0.00,0.00,0.00,31.00,69.00,40.00,60.00,37.00,63.00,30.00,70.00,,John Phillipson (CEO)
North Midland Construction PLC,"Nunn Close,The County Estate,
Huthwaite,
Sutton-In-Ashfield,
Nottinghamshire.,
United Kingdom,
NG17 2HW",00425188,"41202,
42110,
42220,
42910",19.60,21.80,12.40,-2.60,58.00,71.00,78.40,21.60,94.60,5.40,92.80,7.20,94.30,5.70,http://www.northmid.co.uk/who-we-are/our-investors/reports/annual-reports/gender-pay-report-2017,Karen Morris (Group HR Director)
Northern Schools Trust,"NORTH LIVERPOOL ACADEMY,
120 Heyworth Street,
Liverpool,
United Kingdom,
L5 0SQ",05067702,"1,
85310",-9.30,-1.90,0.00,0.00,0.00,0.00,36.80,63.20,37.10,62.90,37.10,62.90,36.80,63.20,,
Norwood Schools Ltd.,"Broadway House,
80 - 82 The Broadway,
Stanmore,
United Kingdom,
HA7 4HB",00516901,"87200,
88910,
88990",-5.10,-0.50,-16.10,-66.70,5.70,4.00,34.10,65.90,27.10,72.90,27.10,72.90,21.30,78.70,,Shona McBride (Director of Workforce)
Nottingham Citycare Partnership Cic,"1 Standard Court,
Park Row,
Nottingham,
United Kingdom,
NG1 6GN",07548602,86900,-5.50,-26.70,0.00,0.00,0.00,0.00,33.00,67.00,25.00,75.00,28.00,72.00,9.00,91.00,https://www.nottinghamcitycare.nhs.uk/stakeholders/governance/equality-and-diversity/,Lyn Bacon (Chief Executive)
Nottingham Community Housing Association 2014 Ltd.,"Camberley Court,
Nottingham,
Nottinghamshire,
United Kingdom,
NG6 8GE",IP20614R,,19.80,23.40,-21.70,0.00,9.00,13.00,23.80,76.20,27.50,72.50,38.00,62.00,47.50,52.50,http://www.ncha.org.uk/genderpaygap,Laura Jones (Head of HR)
Novartis Grimsby Ltd.,"Frimley Business Park,
Frimley,
Camberley,
Surrey,
United Kingdom,
GU16 7SR",00170180,"20120,
20130,
20160,
21100",7.10,14.30,-2.60,5.50,99.00,100.00,58.00,42.00,93.00,7.00,91.00,9.00,80.00,20.00,https://www.novartis.co.uk/novartis-uk-gender-pay-report-2017,Erica Cassin (UK HR Director)
Novartis Pharmaceuticals UK Ltd.,"Frimley Business Park,
Frimley,
Camberley,
Surrey,
United Kingdom,
GU16 7SR",00119006,21100,10.80,8.60,16.20,21.10,95.00,95.00,32.00,68.00,33.00,67.00,46.00,54.00,50.00,50.00,https://www.novartis.co.uk/novartis-uk-gender-pay-report-2017,Erica Cassin (UK HR Director)
Nower Hill High School,"GEORGE V AVENUE,
United Kingdom,
HA5 5RP",07690023,"1,
85310",11.20,18.60,0.00,0.00,0.00,0.00,21.00,79.00,30.00,70.00,30.00,70.00,33.00,67.00,,
NPOWER LIMITED,"Windmill Hill Business Park Whitehill Way, Swindon,
Wiltshire,
SN5 6PB",03653277,35130,19.00,13.00,52.00,30.00,95.00,96.00,35.00,65.00,45.00,55.00,54.00,46.00,61.00,39.00,https://www.npowerjobs.com/resources/Commentary_npower_LTD.pdf,Christopher Pilgrim (HR Director)
